Source,Target,Type,ID,Label,Weight
5,75,Directed,15,,1
6,12,Directed,16,,2
6,57,Directed,17,,1
6,58,Directed,18,,4
6,58,Directed,19,,1
6,66,Directed,20,,1
6,67,Directed,21,,3
6,74,Directed,22,,2
12,176,Directed,24,,2
12,182,Directed,25,,1
14,57,Directed,26,,1
14,58,Directed,27,,1
14,66,Directed,28,,1
57,126,Directed,29,,1
58,6,Directed,30,,1
58,57,Directed,31,,2
58,66,Directed,32,,2
58,126,Directed,33,,2
66,57,Directed,34,,1
66,58,Directed,35,,2
66,67,Directed,36,,4
67,57,Directed,37,,1
67,58,Directed,38,,1
67,66,Directed,39,,4
67,66,Directed,40,,1
68,69,Directed,41,,2
68,176,Directed,43,,2
69,68,Directed,44,,2
69,176,Directed,45,,2
69,194,Directed,46,,1
70,108,Directed,47,,1
74,4,Directed,49,,1
74,75,Directed,50,,1
75,5,Directed,51,,1
75,74,Directed,52,,1
78,12,Directed,53,,1
108,70,Directed,54,,1
108,70,Directed,55,,2
121,179,Directed,56,,11
123,230,Directed,57,,1
124,122,Directed,58,,1
125,179,Directed,59,,1
126,57,Directed,60,,4
126,58,Directed,61,,2
126,66,Directed,62,,1
126,140,Directed,63,,1
139,140,Directed,65,,1
140,57,Directed,66,,1
182,12,Directed,76,,1
194,68,Directed,77,,4
194,69,Directed,78,,4
194,230,Directed,80,,1
230,123,Directed,81,,1
230,194,Directed,82,,1
235,224,Directed,83,,1
