Nodes,ID,Label,ColorOfNodes
ADFL,4,ADFL,"31,31,100"
ADFR,5,ADFR,"31,31,100"
ADLL,6,ADLL,"31,31,100"
ADLR,7,ADLR,"31,31,100"
AFDL,8,AFDL,"31,31,100"
AFDR,9,AFDR,"31,31,100"
AIAL,10,AIAL,"31,31,100"
AIAR,11,AIAR,"31,31,100"
AIBL,12,AIBL,"31,31,100"
AIBR,13,AIBR,"31,31,100"
AIML,14,AIML,"31,31,100"
AIMR,15,AIMR,"31,31,100"
AINL,16,AINL,"31,31,100"
AINR,17,AINR,"31,31,100"
AIYL,18,AIYL,"31,31,100"
AIYR,19,AIYR,"31,31,100"
ALA,22,ALA,"31,31,100"
ASEL,39,ASEL,"31,31,100"
ASER,40,ASER,"31,31,100"
ASGL,41,ASGL,"31,31,100"
ASGR,42,ASGR,"31,31,100"
ASHL,43,ASHL,"31,31,100"
ASHR,44,ASHR,"31,31,100"
ASIL,45,ASIL,"31,31,100"
ASIR,46,ASIR,"31,31,100"
ASJL,47,ASJL,"31,31,100"
ASJR,48,ASJR,"31,31,100"
ASKL,49,ASKL,"31,31,100"
ASKR,50,ASKR,"31,31,100"
AUAL,51,AUAL,"31,31,100"
AUAR,52,AUAR,"31,31,100"
AVAL,53,AVAL,"31,31,100"
AVAR,54,AVAR,"31,31,100"
AVBL,55,AVBL,"31,31,100"
AVBR,56,AVBR,"31,31,100"
AVDL,57,AVDL,"31,31,100"
AVDR,58,AVDR,"31,31,100"
AVEL,59,AVEL,"31,31,100"
AVER,60,AVER,"31,31,100"
AVG,63,AVG,"31,31,100"
AVHL,64,AVHL,"31,31,100"
AVHR,65,AVHR,"31,31,100"
AVJL,66,AVJL,"31,31,100"
AVJR,67,AVJR,"31,31,100"
AVKL,68,AVKL,"31,31,100"
AVKR,69,AVKR,"31,31,100"
AVL,70,AVL,"31,31,100"
AWAL,72,AWAL,"31,31,100"
AWAR,73,AWAR,"31,31,100"
AWBL,74,AWBL,"31,31,100"
AWBR,75,AWBR,"31,31,100"
AWCL,76,AWCL,"31,31,100"
AWCR,77,AWCR,"31,31,100"
BAGL,78,BAGL,"31,31,100"
BAGR,79,BAGR,"31,31,100"
CEPDL,82,CEPDL,"31,31,100"
CEPDR,83,CEPDR,"31,31,100"
CEPVL,84,CEPVL,"31,31,100"
DVA,108,DVA,"31,31,100"
DVC,110,DVC,"31,31,100"
IL1DL,115,IL1DL,"31,31,100"
IL1DR,116,IL1DR,"31,31,100"
IL1L,117,IL1L,"31,31,100"
IL1VR,120,IL1VR,"31,31,100"
IL2DL,121,IL2DL,"31,31,100"
IL2DR,122,IL2DR,"31,31,100"
IL2L,123,IL2L,"31,31,100"
IL2R,124,IL2R,"31,31,100"
IL2VL,125,IL2VL,"31,31,100"
IL2VR,126,IL2VR,"31,31,100"
LUAL,127,LUAL,"31,31,100"
OLQDL,131,OLQDL,"31,31,100"
OLQDR,132,OLQDR,"31,31,100"
PDA,135,PDA,"31,31,100"
PHAL,139,PHAL,"31,31,100"
PHAR,140,PHAR,"31,31,100"
PVCL,150,PVCL,"31,31,100"
PVPL,157,PVPL,"31,31,100"
PVPR,158,PVPR,"31,31,100"
PVQL,159,PVQL,"31,31,100"
PVQR,160,PVQR,"31,31,100"
PVR,161,PVR,"31,31,100"
PVT,162,PVT,"31,31,100"
RIAL,165,RIAL,"31,31,100"
RIAR,166,RIAR,"31,31,100"
RIBL,167,RIBL,"31,31,100"
RIBR,168,RIBR,"31,31,100"
RID,171,RID,"31,31,100"
RIGL,174,RIGL,"31,31,100"
RIGR,175,RIGR,"31,31,100"
RIH,176,RIH,"31,31,100"
RIML,177,RIML,"31,31,100"
RIMR,178,RIMR,"31,31,100"
RIPL,179,RIPL,"31,31,100"
RIPR,180,RIPR,"31,31,100"
RIR,181,RIR,"31,31,100"
RIS,182,RIS,"31,31,100"
RIVL,183,RIVL,"31,31,100"
RIVR,184,RIVR,"31,31,100"
RMDDL,185,RMDDL,"31,31,100"
RMDDR,186,RMDDR,"31,31,100"
RMDL,187,RMDL,"31,31,100"
RMDR,188,RMDR,"31,31,100"
RMDVL,189,RMDVL,"31,31,100"
RMDVR,190,RMDVR,"31,31,100"
RMED,191,RMED,"31,31,100"
RMEL,192,RMEL,"31,31,100"
RMER,193,RMER,"31,31,100"
RMEV,194,RMEV,"31,31,100"
RMGL,197,RMGL,"31,31,100"
RMGR,198,RMGR,"31,31,100"
SAADL,201,SAADL,"31,31,100"
SAADR,202,SAADR,"31,31,100"
SAAVL,203,SAAVL,"31,31,100"
SAAVR,204,SAAVR,"31,31,100"
SABD,205,SABD,"31,31,100"
SIADL,210,SIADL,"31,31,100"
SIADR,211,SIADR,"31,31,100"
SIAVL,212,SIAVL,"31,31,100"
SIAVR,213,SIAVR,"31,31,100"
SIBDL,214,SIBDL,"31,31,100"
SIBDR,215,SIBDR,"31,31,100"
SIBVL,216,SIBVL,"31,31,100"
SIBVR,217,SIBVR,"31,31,100"
SMBDL,218,SMBDL,"31,31,100"
SMBVL,220,SMBVL,"31,31,100"
SMBVR,221,SMBVR,"31,31,100"
SMDDL,222,SMDDL,"31,31,100"
SMDDR,223,SMDDR,"31,31,100"
SMDVL,224,SMDVL,"31,31,100"
SMDVR,225,SMDVR,"31,31,100"
URADL,226,URADL,"31,31,100"
URADR,227,URADR,"31,31,100"
URAVL,228,URAVL,"31,31,100"
URAVR,229,URAVR,"31,31,100"
URBL,230,URBL,"31,31,100"
URBR,231,URBR,"31,31,100"
URXL,232,URXL,"31,31,100"
URXR,233,URXR,"31,31,100"
URYDL,234,URYDL,"31,31,100"
URYDR,235,URYDR,"31,31,100"
URYVL,236,URYVL,"31,31,100"
URYVR,237,URYVR,"31,31,100"
