Source,Target,Type,ID,Label,Weighted
132,6,Undirected,29350,,0.9731087
13,99,Undirected,2787,,0.972372282
99,13,Undirected,21965,,0.972372282
144,154,Undirected,32186,,0.972297678
154,144,Undirected,34416,,0.972297678
28,117,Undirected,6165,,0.972132274
117,28,Undirected,26012,,0.972132274
74,109,Undirected,16461,,0.971815257
109,74,Undirected,24266,,0.971815257
67,132,Undirected,14916,,0.971795706
132,67,Undirected,29411,,0.971795706
27,124,Undirected,5948,,0.971623363
124,27,Undirected,27579,,0.971623363
105,108,Undirected,23404,,0.97146681
108,105,Undirected,24073,,0.97146681
116,124,Undirected,25884,,0.971392562
124,116,Undirected,27668,,0.971392562
54,62,Undirected,11934,,0.971072471
62,54,Undirected,13718,,0.971072471
147,151,Undirected,32855,,0.970982789
151,147,Undirected,33747,,0.970982789
71,160,Undirected,15840,,0.970871717
160,71,Undirected,35687,,0.970871717
113,121,Undirected,25209,,0.970752365
121,113,Undirected,26993,,0.970752365
20,145,Undirected,4401,,0.970192004
145,20,Undirected,32276,,0.970192004
171,178,Undirected,38258,,0.969324066
178,171,Undirected,39819,,0.969324066
13,106,Undirected,2794,,0.969252836
106,13,Undirected,23533,,0.969252836
75,108,Undirected,16684,,0.96912304
108,75,Undirected,24043,,0.96912304
78,92,Undirected,17340,,0.968862857
92,78,Undirected,20462,,0.968862857
98,120,Undirected,21848,,0.968644383
120,98,Undirected,26754,,0.968644383
78,105,Undirected,17353,,0.968442336
105,78,Undirected,23374,,0.968442336
51,188,Undirected,11388,,0.96837679
188,51,Undirected,41939,,0.96837679
117,152,Undirected,26136,,0.968248451
152,117,Undirected,33941,,0.968248451
51,196,Undirected,11396,,0.967621581
196,51,Undirected,43731,,0.967621581
37,39,Undirected,8103,,0.966998458
39,37,Undirected,8549,,0.966998458
129,174,Undirected,28846,,0.966965135
174,129,Undirected,38881,,0.966965135
12,102,Undirected,2566,,0.966666409
102,12,Undirected,22636,,0.966666409
8,224,Undirected,1792,,0.965535777
224,8,Undirected,49960,,0.965535777
171,185,Undirected,38265,,0.965111204
185,171,Undirected,41387,,0.965111204
90,132,Undirected,20068,,0.965105588
132,90,Undirected,29434,,0.965105588
43,217,Undirected,9625,,0.964993974
217,43,Undirected,48427,,0.964993974
92,105,Undirected,20489,,0.964771627
105,92,Undirected,23388,,0.964771627
40,195,Undirected,8931,,0.964732052
195,40,Undirected,43496,,0.964732052
140,147,Undirected,31283,,0.964486911
147,140,Undirected,32844,,0.964486911
195,217,Undirected,43673,,0.964050789
217,195,Undirected,48579,,0.964050789
16,74,Undirected,3434,,0.96399115
74,16,Undirected,16368,,0.96399115
192,193,Undirected,42977,,0.963818765
193,192,Undirected,43200,,0.963818765
46,188,Undirected,10268,,0.963654933
188,46,Undirected,41934,,0.963654933
70,102,Undirected,15558,,0.963494949
102,70,Undirected,22694,,0.963494949
40,185,Undirected,8921,,0.963164832
185,40,Undirected,41256,,0.963164832
189,196,Undirected,42308,,0.963164474
196,189,Undirected,43869,,0.963164474
175,217,Undirected,39193,,0.962075607
217,175,Undirected,48559,,0.962075607
16,117,Undirected,3477,,0.96181703
117,16,Undirected,26000,,0.96181703
16,144,Undirected,3504,,0.960822733
144,16,Undirected,32048,,0.960822733
23,220,Undirected,5148,,0.960682433
220,23,Undirected,49079,,0.960682433
71,83,Undirected,15763,,0.960674136
83,71,Undirected,18439,,0.960674136
37,86,Undirected,8150,,0.960226797
86,37,Undirected,19077,,0.960226797
46,47,Undirected,10127,,0.960015578
47,46,Undirected,10350,,0.960015578
92,108,Undirected,20492,,0.95988019
108,92,Undirected,24060,,0.95988019
37,62,Undirected,8126,,0.959193356
62,37,Undirected,13701,,0.959193356
161,167,Undirected,36007,,0.959045556
167,161,Undirected,37345,,0.959045556
15,75,Undirected,3211,,0.958940128
75,15,Undirected,16591,,0.958940128
171,201,Undirected,38281,,0.958798885
201,171,Undirected,44971,,0.958798885
67,83,Undirected,14867,,0.9585994
83,67,Undirected,18435,,0.9585994
59,90,Undirected,13082,,0.958502326
90,59,Undirected,19995,,0.958502326
132,136,Undirected,29480,,0.958498055
136,132,Undirected,30372,,0.958498055
24,221,Undirected,5373,,0.958189901
221,24,Undirected,49304,,0.958189901
44,52,Undirected,9684,,0.9581256
52,44,Undirected,11468,,0.9581256
15,114,Undirected,3250,,0.958025444
114,15,Undirected,25327,,0.958025444
151,223,Undirected,33823,,0.957993786
223,151,Undirected,49879,,0.957993786
101,155,Undirected,22555,,0.9578926
155,101,Undirected,34597,,0.9578926
27,116,Undirected,5940,,0.957884245
116,27,Undirected,25787,,0.957884245
28,152,Undirected,6200,,0.957551909
152,28,Undirected,33852,,0.957551909
75,78,Undirected,16654,,0.957523469
78,75,Undirected,17323,,0.957523469
75,105,Undirected,16681,,0.957030923
105,75,Undirected,23371,,0.957030923
16,154,Undirected,3514,,0.95701251
154,16,Undirected,34288,,0.95701251
148,224,Undirected,33152,,0.956756474
224,148,Undirected,50100,,0.956756474
179,205,Undirected,40077,,0.956755167
205,179,Undirected,45875,,0.956755167
171,195,Undirected,38275,,0.956688555
195,171,Undirected,43627,,0.956688555
55,217,Undirected,12313,,0.956626088
217,55,Undirected,48439,,0.956626088
68,85,Undirected,15093,,0.956502859
85,68,Undirected,18884,,0.956502859
28,30,Undirected,6078,,0.955903613
30,28,Undirected,6524,,0.955903613
62,214,Undirected,13878,,0.955125735
214,62,Undirected,47774,,0.955125735
83,160,Undirected,18528,,0.955113202
160,83,Undirected,35699,,0.955113202
140,151,Undirected,31287,,0.955099195
151,140,Undirected,33740,,0.955099195
30,152,Undirected,6648,,0.954667133
152,30,Undirected,33854,,0.954667133
189,206,Undirected,42318,,0.954562773
206,189,Undirected,46109,,0.954562773
23,148,Undirected,5076,,0.954425031
148,23,Undirected,32951,,0.954425031
21,151,Undirected,4631,,0.954259476
151,21,Undirected,33621,,0.954259476
179,202,Undirected,40074,,0.954195224
202,179,Undirected,45203,,0.954195224
188,202,Undirected,42090,,0.954053362
202,188,Undirected,45212,,0.954053362
47,202,Undirected,10506,,0.953831785
202,47,Undirected,45071,,0.953831785
89,109,Undirected,19821,,0.95380294
109,89,Undirected,24281,,0.95380294
39,216,Undirected,8728,,0.953689091
216,39,Undirected,48199,,0.953689091
31,147,Undirected,6867,,0.953659914
147,31,Undirected,32735,,0.953659914
160,166,Undirected,35782,,0.95328992
166,160,Undirected,37120,,0.95328992
137,154,Undirected,30618,,0.953283647
154,137,Undirected,34409,,0.953283647
40,178,Undirected,8914,,0.953110445
178,40,Undirected,39688,,0.953110445
188,189,Undirected,42077,,0.952998175
189,188,Undirected,42300,,0.952998175
85,133,Undirected,18949,,0.952900015
133,85,Undirected,29653,,0.952900015
214,216,Undirected,47928,,0.952740569
216,214,Undirected,48374,,0.952740569
47,51,Undirected,10355,,0.952650815
51,47,Undirected,11247,,0.952650815
114,124,Undirected,25436,,0.952455115
124,114,Undirected,27666,,0.952455115
195,201,Undirected,43657,,0.952447324
201,195,Undirected,44995,,0.952447324
8,23,Undirected,1591,,0.952130191
23,8,Undirected,4936,,0.952130191
86,130,Undirected,19170,,0.951523311
130,86,Undirected,28982,,0.951523311
139,220,Undirected,31132,,0.951453291
220,139,Undirected,49195,,0.951453291
31,151,Undirected,6871,,0.951183629
151,31,Undirected,33631,,0.951183629
47,206,Undirected,10510,,0.950709771
206,47,Undirected,45967,,0.950709771
43,195,Undirected,9603,,0.950700513
195,43,Undirected,43499,,0.950700513
74,154,Undirected,16506,,0.950373658
154,74,Undirected,34346,,0.950373658
36,61,Undirected,7901,,0.950314148
61,36,Undirected,13476,,0.950314148
