Source,Target,Type,ID,Label,Weighted
113,123,Undirected,25211,,0.995408535
123,113,Undirected,27441,,0.995408535
39,86,Undirected,8598,,0.991108107
86,39,Undirected,19079,,0.991108107
99,106,Undirected,22058,,0.990191133
106,99,Undirected,23619,,0.990191133
77,99,Undirected,17123,,0.989914843
99,77,Undirected,22029,,0.989914843
21,223,Undirected,4703,,0.988697044
223,21,Undirected,49749,,0.988697044
36,213,Undirected,8053,,0.988678634
213,36,Undirected,47524,,0.988678634
82,161,Undirected,18305,,0.988494276
161,82,Undirected,35922,,0.988494276
68,82,Undirected,15090,,0.988443083
82,68,Undirected,18212,,0.988443083
78,108,Undirected,17356,,0.988025842
108,78,Undirected,24046,,0.988025842
5,109,Undirected,1005,,0.987905947
109,5,Undirected,24197,,0.987905947
172,186,Undirected,38490,,0.985488196
186,172,Undirected,41612,,0.985488196
67,90,Undirected,14874,,0.984498273
90,67,Undirected,20003,,0.984498273
36,85,Undirected,7925,,0.984422117
85,36,Undirected,18852,,0.984422117
43,55,Undirected,9463,,0.984037488
55,43,Undirected,12139,,0.984037488
77,106,Undirected,17130,,0.983949578
106,77,Undirected,23597,,0.983949578
89,93,Undirected,19805,,0.983943317
93,89,Undirected,20697,,0.983943317
47,196,Undirected,10500,,0.982204902
196,47,Undirected,43727,,0.982204902
202,206,Undirected,45230,,0.982125857
206,202,Undirected,46122,,0.982125857
5,74,Undirected,970,,0.982084668
74,5,Undirected,16357,,0.982084668
13,77,Undirected,2765,,0.981733544
77,13,Undirected,17037,,0.981733544
40,171,Undirected,8907,,0.981197424
171,40,Undirected,38120,,0.981197424
46,51,Undirected,10131,,0.980013186
51,46,Undirected,11246,,0.980013186
68,161,Undirected,15169,,0.979959131
161,68,Undirected,35908,,0.979959131
172,179,Undirected,38483,,0.979508376
179,172,Undirected,40044,,0.979508376
85,213,Undirected,19029,,0.978596668
213,85,Undirected,47573,,0.978596668
62,216,Undirected,13880,,0.977863866
216,62,Undirected,48222,,0.977863866
47,189,Undirected,10493,,0.977862759
189,47,Undirected,42159,,0.977862759
37,216,Undirected,8280,,0.977857378
216,37,Undirected,48197,,0.977857378
185,195,Undirected,41411,,0.977830404
195,185,Undirected,43641,,0.977830404
23,224,Undirected,5152,,0.977445232
224,23,Undirected,49975,,0.977445232
46,196,Undirected,10276,,0.977219935
196,46,Undirected,43726,,0.977219935
74,137,Undirected,16489,,0.976965296
137,74,Undirected,30538,,0.976965296
5,137,Undirected,1033,,0.976524173
137,5,Undirected,30469,,0.976524173
174,214,Undirected,38966,,0.976235401
214,174,Undirected,47886,,0.976235401
188,196,Undirected,42084,,0.976186172
196,188,Undirected,43868,,0.976186172
8,148,Undirected,1716,,0.975562935
148,8,Undirected,32936,,0.975562935
220,224,Undirected,49280,,0.975473362
224,220,Undirected,50172,,0.975473362
109,137,Undirected,24329,,0.975095145
137,109,Undirected,30573,,0.975095145
47,188,Undirected,10492,,0.974501044
188,47,Undirected,41935,,0.974501044
140,167,Undirected,31303,,0.974444093
167,140,Undirected,37324,,0.974444093
6,136,Undirected,1256,,0.97418193
136,6,Undirected,30246,,0.97418193
121,123,Undirected,27003,,0.973945
123,121,Undirected,27449,,0.973945
185,201,Undirected,41417,,0.973503444
201,185,Undirected,44985,,0.973503444
179,186,Undirected,40058,,0.973219174
186,179,Undirected,41619,,0.973219174
6,132,Undirected,1252,,0.9731087
